id,job_title,company_name,location,industry,job_type,min_salary,max_salary,salary_midpoint,salary_bracket,experience_min,experience_max,experience_range,skill_count,skills,date_posted,source,anomaly_flag,dedup_hash,scraped_at
14,Junior Systems Analyst,Softech Worldwide,Karachi,Information Technology,Contract,74607.0,109926.0,92266.5,Junior,2,5,3,5,"Python, Machine Learning, MySQL, CI/CD, GCP",2026-03-12,rozee.pk,0,fbdb60658b5a26631294d2f0cbd188ff,2026-03-12 21:00:00
15,Senior Software Architect,Contour Software,Peshawar,Information Technology,Full-time,,,,,10,12,2,7,"React, Machine Learning, Node.js, Git, Azure, Redis, Terraform",2026-02-22,rozee.pk,0,d04468874f3b2d9b70d1fd55942ed73d,2026-02-23 15:00:00
16,Mid Penetration Tester,PTCL,Rawalpindi,Cybersecurity,Contract,215175.0,232351.0,223763.0,Senior,6,9,3,3,"TypeScript, Linux, LLM",2026-03-29,indeed.com.pk,0,1e591430600fcd5927b97667b77556dd,2026-03-30 12:00:00
17,Senior Cloud Engineer,i2c Inc,Lahore,Information Technology,Full-time,,,,,4,8,4,9,"SQL, React, AWS, TypeScript, PHP, MongoDB, FastAPI, Excel, BERT",2026-02-01,indeed.com.pk,0,434989ffa0f398c92f3d2663bf48294b,2026-02-01 10:00:00
18,Senior Full Stack Developer,NetSol Technologies,Lahore,Information Technology,Full-time,180610.0,202348.0,191479.0,Mid,3,4,1,10,"Python, SQL, JavaScript, React, Django, REST API, TensorFlow, DevOps, Flutter, NumPy",2026-02-26,rozee.pk,0,5243a10918dd86fb8e0d3f63957a543b,2026-02-27 19:00:00
19,Mid Data Analyst,TRG Pakistan,Remote,Information Technology,Remote,,,,,1,2,1,6,"Python, Machine Learning, Node.js, TensorFlow, GCP, PyTorch",2026-02-10,rozee.pk,0,da247d63f04de79f48f1f2b804ec830f,2026-02-11 13:00:00
20,Junior BI Analyst,Arbisoft,Peshawar,Banking & Finance,Full-time,77089.0,101608.0,89348.5,Junior,2,5,3,10,"JavaScript, Machine Learning, Django, REST API, Linux, TensorFlow, Pandas, Azure, GCP, PyTorch",2026-03-11,indeed.com.pk,0,5de5db2319cf33076fce2cb9cca80eee,2026-03-11 22:00:00
21,Mid DevOps Engineer,Hazen Technologies,Islamabad,Information Technology,Full-time,149910.0,189595.0,169752.5,Mid,6,8,2,10,"Python, React, Machine Learning, AWS, Node.js, Docker, MySQL, CI/CD, NumPy, GCP",2026-03-15,rozee.pk,0,2bb8b995427518da04ad40f5a766ecba,2026-03-16 22:00:00
22,Senior Data Scientist,NETSOL ERP,Islamabad,AI & Data Science,Full-time,,,,,6,8,2,7,"Python, JavaScript, Node.js, Docker, Data Science, Linux, Deep Learning",2026-03-07,indeed.com.pk,0,2324151567f54b0534778711090cd7f4,2026-03-07 09:00:00
23,Mid BI Analyst,DCode Tech,Lahore,Banking & Finance,Full-time,116797.0,128228.0,122512.5,Mid,3,7,4,3,"SQL, React, LLM",2026-03-08,indeed.com.pk,0,a1c3243850b54bfa3dae6b2782da73ac,2026-03-08 19:00:00
24,Mid Blockchain Developer,NETSOL ERP,Islamabad,Information Technology,Full-time,,,,,6,7,1,10,"Python, Machine Learning, AWS, Git, TypeScript, PostgreSQL, Deep Learning, NLP, Flutter, Excel",2026-03-30,indeed.com.pk,0,57baa9e38ea0b9c48f34fdc4c60d1309,2026-03-31 17:00:00
25,Junior React Developer,Meezan Bank IT,Lahore,Information Technology,Remote,,,,,2,3,1,7,"Python, JavaScript, AWS, Docker, TypeScript, DevOps, Spark",2026-03-18,rozee.pk,0,7499c3621061fe74f46fbdcd33765663,2026-03-19 15:00:00
26,Senior IT Project Manager,Airlift Technologies,Lahore,Information Technology,Full-time,,,,,10,14,4,7,"Python, Machine Learning, AWS, Django, Data Science, PHP, FastAPI",2026-02-07,indeed.com.pk,0,ff38906e8d5dcd82b691e552e831f269,2026-02-07 05:00:00
27,Mid Cybersecurity Analyst,Haier Pakistan,Multiple,Cybersecurity,Remote,177285.0,191391.0,184338.0,Mid,6,7,1,5,"Docker, Data Science, TypeScript, REST API, Spark",2026-01-30,rozee.pk,0,f70bb48934b8409ec4c2ade8f1d6bfa0,2026-01-31 20:00:00
28,Mid AI Engineer,Haier Pakistan,Karachi,AI & Data Science,Remote,,,,,6,10,4,12,"Python, JavaScript, Machine Learning, Git, Django, Data Science, TypeScript, REST API, NumPy, Tableau, LLM, R",2026-02-05,rozee.pk,0,fd2fa8c72b4cd188c855a7adadd0141f,2026-02-06 05:00:00
29,Senior Data Engineer,Creative Chaos,Lahore,AI & Data Science,Internship,,,,,3,4,1,8,"React, Machine Learning, Node.js, Docker, Data Science, REST API, DevOps, Pandas",2026-02-09,rozee.pk,0,4d49c52d89057d84a7aa6bb488d691c3,2026-02-10 03:00:00
30,Mid Full Stack Developer,Techwards,Islamabad,Information Technology,Full-time,,,,,2,4,2,3,"Python, React, Machine Learning",2026-03-24,indeed.com.pk,0,ab7f573f0bd96a30ce620092171313a1,2026-03-25 17:00:00
31,Junior DevOps Engineer,Sigmoid Analytics,Lahore,Information Technology,Full-time,102394.0,130427.0,116410.5,Junior,3,4,1,10,"Python, AWS, Docker, Git, PHP, Linux, TensorFlow, DevOps, Flutter, GraphQL",2026-03-08,rozee.pk,0,d5a52c663ff090127f66a8348e1c87eb,2026-03-09 04:00:00
32,Mid Network Engineer,Softech Worldwide,Lahore,Telecommunications,Remote,,,,,5,8,3,3,"Python, JavaScript, Data Science",2026-03-25,rozee.pk,0,05dcdc5ad3e63f96713a7e2204e8a1e8,2026-03-26 05:00:00
33,Junior Game Developer,Arbisoft,Karachi,Game Development,Full-time,84597.0,116642.0,100619.5,Junior,5,9,4,6,"AWS, Docker, Django, TypeScript, Power BI, Scikit-learn",2026-02-18,rozee.pk,0,bc67f86b597048f6c4829ca0d0a6bd59,2026-02-18 02:00:00
34,Junior DevOps Engineer,Sigmoid Analytics,Lahore,Information Technology,Full-time,,,,,2,4,2,7,"Python, Machine Learning, Node.js, Linux, CI/CD, NLP, R",2026-02-06,rozee.pk,0,607b63b95971a726df41590cd82739bc,2026-02-06 04:00:00
35,Mid Data Analyst,Jazz Digital,Islamabad,Information Technology,Full-time,135414.0,152258.0,143836.0,Mid,2,6,4,5,"Python, JavaScript, AWS, Deep Learning, Kubernetes",2026-03-17,indeed.com.pk,0,ac1a3cf284070ffa7b5fdee317ed045f,2026-03-18 11:00:00
36,Senior Software Architect,Noogata,Karachi,Information Technology,Remote,,,,,6,7,1,8,"SQL, JavaScript, React, AWS, Django, REST API, Azure, LLM",2026-03-28,rozee.pk,0,24955b9dbaf116629e5aa17d16ff5771,2026-03-29 10:00:00
37,Junior Python Developer,Techwards,Lahore,Information Technology,Contract,125877.0,138313.0,132095.0,Mid,3,4,1,8,"Python, React, AWS, Node.js, Docker, CI/CD, NLP, Flutter",2026-03-02,indeed.com.pk,0,e3226ac6633bf7432aef9e9f87e107b8,2026-03-02 06:00:00
38,Mid Software Engineer,TRG Pakistan,Karachi,Information Technology,Remote,197004.0,221711.0,209357.5,Senior,3,7,4,4,"SQL, JavaScript, Docker, Selenium",2026-02-28,rozee.pk,0,3a3ce50edfef3906991e7dce44e3287d,2026-02-28 16:00:00
39,Mid Cloud Engineer,Emumba,Lahore,Information Technology,Remote,193830.0,226168.0,209999.0,Senior,3,5,2,6,"Python, React, Node.js, Django, REST API, FastAPI",2026-03-08,rozee.pk,0,9d646697a3103e6af2f9661d2aa5953a,2026-03-08 10:00:00
40,Junior Mobile App Developer,TRG Pakistan,Karachi,Information Technology,Full-time,,,,,1,3,2,6,"Python, SQL, MySQL, REST API, Deep Learning, DevOps",2026-03-20,indeed.com.pk,0,f07c76216748bcda44afdf5ffb8d55da,2026-03-21 22:00:00
41,Mid Game Developer,Daraz Pakistan,Faisalabad,Game Development,Full-time,,,,,1,3,2,5,"Python, SQL, Django, Data Science, Selenium",2026-02-08,rozee.pk,0,6cd9115de6ae511c12b814616f8af968,2026-02-08 16:00:00
42,Junior Cybersecurity Analyst,NETSOL ERP,Karachi,Cybersecurity,Full-time,95371.0,112248.0,103809.5,Junior,2,4,2,8,"SQL, Machine Learning, AWS, Node.js, Docker, Git, TensorFlow, R",2026-02-22,indeed.com.pk,0,d9c862e7b2f7a3082a3691a703bb8654,2026-02-23 19:00:00
43,Mid IT Support Engineer,Engro Polymers IT,Rawalpindi,Information Technology,Remote,,,,,0,4,4,9,"Python, JavaScript, Docker, Django, TypeScript, Vue, NLP, Pandas, LLM",2026-02-20,rozee.pk,0,50a1a2485b5d1940055525d4050fdcbf,2026-02-21 01:00:00
44,Junior Data Engineer,Emumba,Islamabad,AI & Data Science,Remote,,,,,2,4,2,10,"Python, Machine Learning, AWS, Docker, Git, Data Science, Kubernetes, Excel, R, XGBoost",2026-03-17,rozee.pk,0,f9313992fa02bc327f19d105a58b7bc0,2026-03-18 02:00:00
45,Mid Network Engineer,i2c Inc,Islamabad,Telecommunications,Full-time,129496.0,160485.0,144990.5,Mid,5,6,1,7,"SQL, JavaScript, Machine Learning, Data Science, PostgreSQL, Linux, Spark",2026-03-11,rozee.pk,0,83d8930ad028a6adde0d3462c6ec0bec,2026-03-12 13:00:00
46,Senior IT Project Manager,Systems Limited,Lahore,Information Technology,Full-time,,,,,8,9,1,9,"SQL, React, Docker, REST API, PostgreSQL, MongoDB, NLP, Generative AI, Redis",2026-03-17,rozee.pk,0,99ea1beb21810da3d56e9327de9744d8,2026-03-17 16:00:00
47,Mid NLP Engineer,MCB Tech,Remote,AI & Data Science,Part-time,269925.0,287509.0,278717.0,Senior,2,3,1,9,"Python, Machine Learning, AWS, Node.js, Git, TensorFlow, Kubernetes, NLP, PyTorch",2026-03-15,rozee.pk,0,2861041430d21c6bd39d1254517a5d14,2026-03-17 00:00:00
48,Junior Systems Analyst,Creative Chaos,Lahore,Information Technology,Full-time,95069.0,132278.0,113673.5,Junior,2,3,1,8,"Python, SQL, AWS, Git, REST API, Linux, MongoDB, Redis",2026-02-20,indeed.com.pk,0,77495f90735da8a95efa269810da218f,2026-02-20 21:00:00
49,Mid AI Engineer,MCB Tech,Lahore,AI & Data Science,Full-time,,,,,3,7,4,10,"Python, SQL, JavaScript, React, Machine Learning, Deep Learning, NLP, Selenium, Kotlin, Power BI",2026-01-26,rozee.pk,0,1626d972069377ee5d08db3ef31dd440,2026-01-27 22:00:00
50,Senior IT Project Manager,VentureDive,Karachi,Information Technology,Full-time,,,,,11,15,4,6,"Django, Data Science, Vue, DevOps, Power BI, Generative AI",2026-03-26,rozee.pk,0,623967b0718a5f179d0c46e6de162cf4,2026-03-27 20:00:00
51,Junior DevOps Engineer,NetSol Technologies,Karachi,Information Technology,Remote,,,,,4,7,3,12,"Python, SQL, AWS, Docker, MySQL, Data Science, REST API, PHP, Linux, Kubernetes, CI/CD, FastAPI",2026-03-27,rozee.pk,0,05da7015cc8d2457ffaa4e8797269988,2026-03-27 18:00:00
52,Junior Quality Assurance Engineer,Noogata,Lahore,Information Technology,Remote,75491.0,110278.0,92884.5,Junior,3,7,4,2,"MySQL, Deep Learning",2026-03-18,rozee.pk,0,22ffa97b4e98e3a478ebfa87d002ed74,2026-03-18 07:00:00
53,Mid Game Developer,UBL Payments,Peshawar,Game Development,Contract,115529.0,144273.0,129901.0,Mid,4,8,4,8,"Python, SQL, JavaScript, AWS, TypeScript, MongoDB, Kubernetes, Computer Vision",2026-03-12,indeed.com.pk,0,26733fc5cb265301d5f19ad2770d5aea,2026-03-13 09:00:00
54,Senior AI Engineer,ScientiaMobile,Multan,AI & Data Science,Remote,304393.0,320212.0,312302.5,Senior,7,11,4,10,"Python, JavaScript, Machine Learning, Node.js, Docker, Git, Data Science, CI/CD, NLP, PyTorch",2026-03-20,rozee.pk,0,4229f98c357b3dfb142031f61878b767,2026-03-21 18:00:00
55,Mid IT Support Engineer,Arbisoft,Lahore,Information Technology,Full-time,,,,,2,6,4,3,"Python, SQL, React",2026-02-24,rozee.pk,0,18cc0d6b71e0a711cab16d0a710215ca,2026-02-24 13:00:00
56,Mid Cloud Engineer,Infolinks,Multiple,Information Technology,Contract,,,,,4,6,2,11,"Python, JavaScript, React, AWS, Git, Data Science, Linux, FastAPI, NLP, Tableau, Terraform",2026-03-05,indeed.com.pk,0,d13483680f9e129cad8fa46a0fb7dd62,2026-03-05 02:00:00
57,Senior Quality Assurance Engineer,10Pearls,Lahore,Information Technology,Full-time,161801.0,197073.0,179437.0,Mid,4,7,3,9,"Python, Machine Learning, Django, MongoDB, Kubernetes, FastAPI, NLP, Kotlin, Spark",2026-03-30,rozee.pk,0,701c2b9ee805bc97527a37e116a66f87,2026-03-31 06:00:00
58,Junior Python Developer,Airlift Technologies,Rawalpindi,Information Technology,Contract,,,,,3,7,4,5,"Python, JavaScript, React, TypeScript, GraphQL",2026-01-20,indeed.com.pk,0,8246f2aaeed3977a782b4082d4efd3a1,2026-01-21 10:00:00
59,Senior Network Engineer,HBL Systems,Islamabad,Telecommunications,Full-time,173515.0,205263.0,189389.0,Mid,5,8,3,6,"Python, Machine Learning, Node.js, Django, PHP, GCP",2026-01-31,rozee.pk,0,043959f8007a4579e01d84c074f1b14e,2026-01-31 22:00:00
60,Senior Mobile App Developer,i2c Inc,Remote,Information Technology,Full-time,,,,,1,2,1,5,"Python, React, AWS, Data Science, FastAPI",2026-02-10,rozee.pk,0,fb8219dda2290abf4455bff0485dc41d,2026-02-10 21:00:00
61,Junior IT Support Engineer,CarFirst,Lahore,Information Technology,Full-time,28106.0,61384.0,44745.0,Entry,2,4,2,5,"Machine Learning, Linux, Deep Learning, NumPy, Terraform",2026-03-02,rozee.pk,0,012523e17078190a67ca7830e5828a5f,2026-03-03 05:00:00
62,Junior Blockchain Developer,StreamSend,Faisalabad,Information Technology,Remote,12000.0,22000.0,17000.0,Entry,6,8,2,8,"Python, React, Node.js, Docker, Django, TypeScript, PostgreSQL, NLP",2026-01-11,rozee.pk,1,26d590a5881a922a03d3c4fb26e2bcf9,2026-01-12 01:00:00
63,Junior Game Developer,Hazen Technologies,Karachi,Game Development,Full-time,,,,,3,7,4,8,"SQL, Machine Learning, Docker, Git, REST API, NLP, DevOps, Power BI",2026-01-13,rozee.pk,0,80645c1cd46f02c59c2a0c1668f49b68,2026-01-14 19:00:00
64,Mid Software Engineer,Devsinc,Lahore,Information Technology,Full-time,181970.0,201736.0,191853.0,Mid,4,6,2,2,"Docker, Git",2026-02-11,indeed.com.pk,0,502bc802f0bb2bd885b4eb69f7765a3d,2026-02-11 01:00:00
65,Junior Cloud Engineer,MCB Tech,Islamabad,Information Technology,Remote,150034.0,182302.0,166168.0,Mid,4,6,2,8,"JavaScript, React, AWS, MySQL, REST API, PHP, PostgreSQL, Deep Learning",2026-03-22,rozee.pk,0,97030a9d9bb3906b4ba782bd7c05a5e1,2026-03-23 08:00:00
66,Junior DevOps Engineer,Hazen Technologies,Lahore,Information Technology,Full-time,141026.0,166416.0,153721.0,Mid,4,8,4,6,"SQL, React, AWS, PHP, Kubernetes, FastAPI",2026-02-26,rozee.pk,0,82316ce2ed424aad242acaca8d26e5a9,2026-02-27 10:00:00
67,Senior AI Engineer,Retailo Technologies,Remote,AI & Data Science,Remote,,,,,8,11,3,10,"Python, React, Machine Learning, AWS, Django, Data Science, PHP, Linux, Deep Learning, Tableau",2026-03-04,indeed.com.pk,0,880a0c1f204f2361804f160f6ddf6cb9,2026-03-04 15:00:00
68,Mid Research Scientist,Jazz Digital,Lahore,AI & Data Science,Contract,231178.0,260117.0,245647.5,Senior,3,4,1,9,"Python, SQL, JavaScript, Machine Learning, AWS, Data Science, Deep Learning, NLP, Pandas",2026-03-24,rozee.pk,0,68ef537c9be81f637fbddce9d39c03bc,2026-03-24 19:00:00
69,Junior IT Support Engineer,NETSOL ERP,Remote,Information Technology,Remote,5000.0,15000.0,10000.0,Entry,0,2,2,9,"SQL, JavaScript, AWS, Node.js, Docker, MySQL, Django, MongoDB, TensorFlow",2026-03-14,rozee.pk,1,435628220f256412764a22262439c0c9,2026-03-14 17:00:00
70,Mid Data Scientist,PTCL,Islamabad,AI & Data Science,Internship,230424.0,251994.0,241209.0,Senior,4,8,4,9,"Python, JavaScript, React, Machine Learning, Node.js, Data Science, TensorFlow, NLP, Selenium",2026-03-29,rozee.pk,0,c77f8d8e3c9a4cd2fc2f60de30fa2042,2026-03-29 12:00:00
71,Junior Frontend Developer,Systems Limited,Islamabad,Information Technology,Full-time,,,,,2,6,4,7,"Python, JavaScript, React, Machine Learning, Docker, Flutter, Excel",2026-03-05,indeed.com.pk,0,5392371387346508aceaa8762a5ecb62,2026-03-06 20:00:00
72,Junior BI Analyst,Meezan Bank IT,Karachi,Banking & Finance,Remote,63111.0,95170.0,79140.5,Junior,4,7,3,2,"JavaScript, REST API",2026-03-23,rozee.pk,0,47e3692e5f48b59db6e9cdbc36fd1119,2026-03-24 10:00:00
73,Junior Blockchain Developer,Daraz Pakistan,Lahore,Information Technology,Remote,119814.0,158351.0,139082.5,Mid,5,9,4,7,"Python, Machine Learning, Deep Learning, TensorFlow, NLP, NumPy, Kotlin",2026-03-11,indeed.com.pk,0,70128a68392afd672d166eb819f73ee6,2026-03-12 03:00:00
74,Junior Backend Developer,DCode Tech,Lahore,Information Technology,Full-time,86947.0,119900.0,103423.5,Junior,5,8,3,9,"Python, SQL, JavaScript, Machine Learning, AWS, Django, CI/CD, FastAPI, Scikit-learn",2026-02-02,rozee.pk,0,4da0e30ec35890ee51a61488c449077f,2026-02-02 04:00:00
75,Mid Research Scientist,Systems Limited,Remote,AI & Data Science,Full-time,,,,,4,7,3,12,"Python, SQL, JavaScript, Machine Learning, Docker, Git, MySQL, PHP, MongoDB, TensorFlow, NumPy, Terraform",2026-03-29,rozee.pk,0,900779df9163bc90efa2ec7ec1679245,2026-03-29 02:00:00
76,Mid BI Analyst,Noogata,Islamabad,Banking & Finance,Full-time,125973.0,153145.0,139559.0,Mid,5,7,2,10,"SQL, JavaScript, AWS, Docker, MySQL, Django, Data Science, REST API, TensorFlow, Vue",2026-03-24,indeed.com.pk,0,65ddfc65741a4624c1ba5e4691904e62,2026-03-26 00:00:00
77,Senior Machine Learning Engineer,Engro Polymers IT,Karachi,AI & Data Science,Remote,,,,,2,4,2,7,"Python, SQL, JavaScript, Machine Learning, Data Science, Selenium, LLM",2026-03-12,indeed.com.pk,0,2eaffb36211d8dd3099c99e8f710b536,2026-03-13 07:00:00
78,Mid React Developer,Afiniti,Rawalpindi,Information Technology,Remote,148372.0,159596.0,153984.0,Mid,5,8,3,8,"SQL, JavaScript, React, Node.js, TypeScript, Linux, CI/CD, Tableau",2026-01-25,rozee.pk,0,ffb72b7bbe23fcd2fdf6bc3a050c879d,2026-01-25 06:00:00
79,Senior Machine Learning Engineer,CarFirst,Karachi,AI & Data Science,Full-time,,,,,6,7,1,12,"Machine Learning, AWS, Docker, Data Science, TypeScript, Deep Learning, TensorFlow, CI/CD, NLP, Selenium, Power BI, Computer Vision",2026-03-17,rozee.pk,0,b1616d3924c484a3b98bfbdf94e9396f,2026-03-18 01:00:00
80,Senior Network Engineer,Devsinc,Lahore,Telecommunications,Full-time,146410.0,162926.0,154668.0,Mid,2,4,2,6,"Python, JavaScript, React, Docker, TensorFlow, DevOps",2026-03-28,indeed.com.pk,0,223bc09d99b74e142bb6909635334eda,2026-03-28 21:00:00
81,Senior Data Scientist,Infolinks,Karachi,AI & Data Science,Remote,297613.0,336453.0,317033.0,Senior,2,5,3,10,"SQL, Machine Learning, Node.js, Docker, Git, MySQL, Data Science, Linux, Deep Learning, TensorFlow",2026-01-29,rozee.pk,0,2948ee8ad02f0a70bfb956f4dd247002,2026-01-30 11:00:00
82,Senior Network Engineer,NETSOL ERP,Peshawar,Telecommunications,Remote,142664.0,181427.0,162045.5,Mid,5,6,1,4,"Node.js, PHP, Linux, Kubernetes",2026-02-17,rozee.pk,0,d76362ecbfb1fe4323a5a81324a43c04,2026-02-18 19:00:00
83,Mid Research Scientist,Arbisoft,Lahore,AI & Data Science,Full-time,239126.0,259268.0,249197.0,Senior,6,9,3,10,"SQL, JavaScript, AWS, Docker, Data Science, MongoDB, NLP, DevOps, Pandas, NumPy",2026-03-09,indeed.com.pk,0,c3a57256980acfc653f182e6ee625309,2026-03-09 05:00:00
84,Mid Cybersecurity Analyst,Hazen Technologies,Lahore,Cybersecurity,Remote,,,,,5,7,2,3,"Python, Machine Learning, Selenium",2026-02-18,rozee.pk,0,4917406bcedb057ffd7eda3d59060431,2026-02-19 07:00:00
85,Junior Database Administrator,Devsinc,Islamabad,Information Technology,Full-time,67508.0,103197.0,85352.5,Junior,4,8,4,11,"Python, SQL, Machine Learning, Node.js, Data Science, TypeScript, Deep Learning, TensorFlow, Kubernetes, Flutter, Power BI",2026-02-26,rozee.pk,0,d4907f62be4ead12c83812bc7fcaff1f,2026-02-26 14:00:00
86,Junior Penetration Tester,Systems Limited,Karachi,Cybersecurity,Remote,152423.0,184936.0,168679.5,Mid,4,5,1,8,"SQL, React, Node.js, Deep Learning, Kubernetes, Selenium, Kotlin, Power BI",2026-03-03,rozee.pk,0,5645c6958dedac4f38051c4af887dc3d,2026-03-04 13:00:00
87,Junior Full Stack Developer,Folio3 Software,Rawalpindi,Information Technology,Contract,,,,,4,8,4,4,"Python, Django, Deep Learning, MongoDB",2026-03-01,rozee.pk,0,cb18f72c405c77d985b37b51960d0464,2026-03-01 07:00:00
88,Senior IT Project Manager,Ufone Tech,Karachi,Information Technology,Remote,,,,,7,8,1,7,"Python, Machine Learning, PHP, PostgreSQL, MongoDB, Vue, R",2026-01-06,rozee.pk,0,c0f7ad6670b33747c53c4b008cc0f4df,2026-01-06 06:00:00
89,Senior Full Stack Developer,i2c Inc,Rawalpindi,Information Technology,Contract,,,,,6,10,4,7,"Machine Learning, Linux, TensorFlow, DevOps, Pandas, Scikit-learn, R",2026-03-16,indeed.com.pk,0,f9adb8b4739b920ae47316d5de18f59b,2026-03-16 04:00:00
90,Senior Software Architect,Meezan Bank IT,Karachi,Information Technology,Full-time,,,,,6,9,3,9,"JavaScript, React, Machine Learning, Node.js, Docker, Git, Django, TensorFlow, R",2026-02-02,rozee.pk,0,2f9a3070488ccb101e07fddd83f008e1,2026-02-03 20:00:00
91,Junior Python Developer,Engro Polymers IT,Faisalabad,Information Technology,Remote,,,,,5,8,3,8,"Python, SQL, AWS, TypeScript, REST API, PHP, CI/CD, FastAPI",2026-02-15,indeed.com.pk,0,18eb4eb98ffa64471c83ad059c0bdb00,2026-02-15 04:00:00
92,Mid AI Engineer,UBL Payments,Karachi,AI & Data Science,Full-time,226718.0,238992.0,232855.0,Senior,4,8,4,9,"Python, JavaScript, Machine Learning, Node.js, Django, Data Science, Linux, Kotlin, R",2026-03-07,indeed.com.pk,0,fd5c08abff5140b04fb1e5d70ffd5505,2026-03-07 03:00:00
93,Senior AI Engineer,Contour Software,Lahore,AI & Data Science,Remote,,,,,8,11,3,12,"Python, JavaScript, React, Machine Learning, Docker, PHP, PostgreSQL, Deep Learning, MongoDB, NLP, Pandas, NumPy",2026-03-16,indeed.com.pk,0,4d7ac855e4d03551e08ca9ac3c17307f,2026-03-17 20:00:00
94,Mid AI Engineer,Daraz Pakistan,Lahore,AI & Data Science,Remote,,,,,4,5,1,12,"Python, SQL, React, Machine Learning, AWS, Node.js, Git, Data Science, TypeScript, PHP, PostgreSQL, TensorFlow",2026-03-18,rozee.pk,0,c9484a78f15979b6ca97407be6c7bd22,2026-03-19 07:00:00
95,Junior Database Administrator,Airlift Technologies,Lahore,Information Technology,Contract,,,,,4,6,2,12,"Python, React, Machine Learning, Node.js, Docker, MySQL, Deep Learning, TensorFlow, FastAPI, DevOps, Pandas, Excel",2026-02-14,rozee.pk,0,443f730903a4c1e3a88a7a581fe12cc2,2026-02-14 15:00:00
